algorithm,cache_ratio,step,iso_alpha_mean,iso_alpha_std,seq_alpha_mean,seq_alpha_std,iso_total,seq_total,alpha_decay,iso_stop_rate,seq_stop_rate
Alg1_CosineOut,0.250,7,0.5347,0.2904,0.2204,0.3359,0.5827,0.3371,0.2682,0.0000,0.0000
Alg1_CosineOut,0.250,8,0.4712,0.2789,0.1755,0.2909,0.5827,0.3371,0.2682,0.0000,0.0000
Alg1_CoAct,0.500,1,0.9060,0.0726,0.9060,0.0726,0.6740,0.7253,0.6056,0.0000,0.0000
Alg1_CoAct,0.500,2,0.7048,0.2372,0.9099,0.1322,0.6740,0.7253,0.6056,0.0000,0.0000
Alg1_CoAct,0.500,3,0.6615,0.2080,0.8178,0.3033,0.6740,0.7253,0.6056,0.0000,0.0000
Alg1_CoAct,0.500,4,0.6798,0.2818,0.7321,0.3606,0.6740,0.7253,0.6056,0.0000,0.0000
Alg1_CoAct,0.500,5,0.6500,0.2845,0.6335,0.4083,0.6740,0.7253,0.6056,0.0000,0.0000
Alg1_CoAct,0.500,6,0.5875,0.2644,0.6561,0.3955,0.6740,0.7253,0.6056,0.0000,0.0000
Alg1_CoAct,0.500,7,0.6085,0.3011,0.5983,0.4393,0.6740,0.7253,0.6056,0.0000,0.0000
Alg1_CoAct,0.500,8,0.5939,0.2915,0.5487,0.4569,0.6740,0.7253,0.6056,0.0000,0.0000
Alg1_CoAct,0.250,1,0.6074,0.2448,0.6074,0.2448,0.5494,0.3186,0.2583,0.0000,0.0000
Alg1_CoAct,0.250,2,0.6196,0.2160,0.4575,0.3200,0.5494,0.3186,0.2583,0.0000,0.0000
Alg1_CoAct,0.250,3,0.5967,0.2456,0.3077,0.3472,0.5494,0.3186,0.2583,0.0000,0.0000
Alg1_CoAct,0.250,4,0.5685,0.2869,0.2913,0.3683,0.5494,0.3186,0.2583,0.0000,0.0000
Alg1_CoAct,0.250,5,0.5621,0.2499,0.2779,0.3193,0.5494,0.3186,0.2583,0.0000,0.0000
Alg1_CoAct,0.250,6,0.5010,0.2520,0.2849,0.3433,0.5494,0.3186,0.2583,0.0000,0.0000
Alg1_CoAct,0.250,7,0.4792,0.2725,0.1654,0.2663,0.5494,0.3186,0.2583,0.0000,0.0000
Alg1_CoAct,0.250,8,0.4609,0.2893,0.1569,0.2748,0.5494,0.3186,0.2583,0.0000,0.0000
Alg1_CondError,0.500,1,0.9235,0.0593,0.9235,0.0593,0.6816,0.7633,0.6793,0.0000,0.0000
Alg1_CondError,0.500,2,0.7196,0.2050,0.9049,0.1340,0.6816,0.7633,0.6793,0.0000,0.0000
Alg1_CondError,0.500,3,0.6695,0.2424,0.8302,0.3016,0.6816,0.7633,0.6793,0.0000,0.0000
Alg1_CondError,0.500,4,0.6702,0.2892,0.7602,0.3300,0.6816,0.7633,0.6793,0.0000,0.0000
Alg1_CondError,0.500,5,0.6546,0.2793,0.7078,0.3855,0.6816,0.7633,0.6793,0.0000,0.0000
Alg1_CondError,0.500,6,0.6043,0.2581,0.7174,0.3691,0.6816,0.7633,0.6793,0.0000,0.0000
Alg1_CondError,0.500,7,0.5961,0.3076,0.6347,0.4458,0.6816,0.7633,0.6793,0.0000,0.0000
Alg1_CondError,0.500,8,0.6149,0.2872,0.6273,0.4488,0.6816,0.7633,0.6793,0.0000,0.0000
Alg1_CondError,0.250,1,0.6717,0.2158,0.6717,0.2158,0.6157,0.3694,0.2552,0.0000,0.0000
Alg1_CondError,0.250,2,0.6577,0.1676,0.5070,0.3327,0.6157,0.3694,0.2552,0.0000,0.0000
Alg1_CondError,0.250,3,0.6810,0.1805,0.4105,0.3756,0.6157,0.3694,0.2552,0.0000,0.0000
Alg1_CondError,0.250,4,0.6565,0.2561,0.3785,0.3864,0.6157,0.3694,0.2552,0.0000,0.0000
Alg1_CondError,0.250,5,0.6612,0.2531,0.3132,0.3557,0.6157,0.3694,0.2552,0.0000,0.0000
Alg1_CondError,0.250,6,0.5523,0.2355,0.2613,0.3647,0.6157,0.3694,0.2552,0.0000,0.0000
Alg1_CondError,0.250,7,0.5541,0.2925,0.2412,0.3688,0.6157,0.3694,0.2552,0.0000,0.0000
Alg1_CondError,0.250,8,0.4913,0.2768,0.1714,0.3121,0.6157,0.3694,0.2552,0.0000,0.0000
Alg1_RouterCorr,0.500,1,0.9045,0.0710,0.9045,0.0710,0.6837,0.7593,0.7320,0.0000,0.0000
Alg1_RouterCorr,0.500,2,0.7160,0.2259,0.8886,0.1855,0.6837,0.7593,0.7320,0.0000,0.0000
Alg1_RouterCorr,0.500,3,0.6867,0.1971,0.7957,0.3321,0.6837,0.7593,0.7320,0.0000,0.0000
Alg1_RouterCorr,0.500,4,0.6793,0.2899,0.7356,0.3535,0.6837,0.7593,0.7320,0.0000,0.0000
Alg1_RouterCorr,0.500,5,0.6557,0.2846,0.7016,0.3888,0.6837,0.7593,0.7320,0.0000,0.0000
Alg1_RouterCorr,0.500,6,0.5955,0.2615,0.7245,0.3593,0.6837,0.7593,0.7320,0.0000,0.0000
Alg1_RouterCorr,0.500,7,0.6232,0.2882,0.6617,0.4162,0.6837,0.7593,0.7320,0.0000,0.0000
Alg1_RouterCorr,0.500,8,0.6085,0.2845,0.6621,0.4220,0.6837,0.7593,0.7320,0.0000,0.0000
Alg1_RouterCorr,0.250,1,0.6304,0.2581,0.6304,0.2581,0.5586,0.3082,0.2423,0.0000,0.0000
Alg1_RouterCorr,0.250,2,0.6382,0.2020,0.4270,0.3200,0.5586,0.3082,0.2423,0.0000,0.0000
Alg1_RouterCorr,0.250,3,0.5781,0.2473,0.3970,0.3437,0.5586,0.3082,0.2423,0.0000,0.0000
Alg1_RouterCorr,0.250,4,0.5784,0.2830,0.2991,0.3511,0.5586,0.3082,0.2423,0.0000,0.0000
Alg1_RouterCorr,0.250,5,0.5735,0.2637,0.2175,0.3260,0.5586,0.3082,0.2423,0.0000,0.0000
Alg1_RouterCorr,0.250,6,0.5095,0.2513,0.1789,0.2917,0.5586,0.3082,0.2423,0.0000,0.0000
Alg1_RouterCorr,0.250,7,0.4902,0.2685,0.1629,0.2600,0.5586,0.3082,0.2423,0.0000,0.0000
Alg1_RouterCorr,0.250,8,0.4708,0.3005,0.1528,0.2425,0.5586,0.3082,0.2423,0.0000,0.0000
W0_NoCorr,0.500,1,0.9235,0.0593,0.9235,0.0593,0.6816,0.7633,0.6793,0.0000,0.0000
W0_NoCorr,0.500,2,0.7196,0.2050,0.9049,0.1340,0.6816,0.7633,0.6793,0.0000,0.0000
W0_NoCorr,0.500,3,0.6695,0.2424,0.8302,0.3016,0.6816,0.7633,0.6793,0.0000,0.0000
W0_NoCorr,0.500,4,0.6702,0.2892,0.7602,0.3300,0.6816,0.7633,0.6793,0.0000,0.0000
W0_NoCorr,0.500,5,0.6546,0.2793,0.7078,0.3855,0.6816,0.7633,0.6793,0.0000,0.0000
W0_NoCorr,0.500,6,0.6043,0.2581,0.7174,0.3691,0.6816,0.7633,0.6793,0.0000,0.0000
W0_NoCorr,0.500,7,0.5961,0.3076,0.6347,0.4458,0.6816,0.7633,0.6793,0.0000,0.0000
W0_NoCorr,0.500,8,0.6149,0.2872,0.6273,0.4488,0.6816,0.7633,0.6793,0.0000,0.0000
W0_NoCorr,0.250,1,0.6717,0.2158,0.6717,0.2158,0.6157,0.3694,0.2552,0.0000,0.0000
W0_NoCorr,0.250,2,0.6577,0.1676,0.5070,0.3327,0.6157,0.3694,0.2552,0.0000,0.0000
W0_NoCorr,0.250,3,0.6810,0.1805,0.4105,0.3756,0.6157,0.3694,0.2552,0.0000,0.0000
W0_NoCorr,0.250,4,0.6565,0.2561,0.3785,0.3864,0.6157,0.3694,0.2552,0.0000,0.0000
W0_NoCorr,0.250,5,0.6612,0.2531,0.3132,0.3557,0.6157,0.3694,0.2552,0.0000,0.0000
W0_NoCorr,0.250,6,0.5523,0.2355,0.2613,0.3647,0.6157,0.3694,0.2552,0.0000,0.0000
W0_NoCorr,0.250,7,0.5541,0.2925,0.2412,0.3688,0.6157,0.3694,0.2552,0.0000,0.0000
W0_NoCorr,0.250,8,0.4913,0.2768,0.1714,0.3121,0.6157,0.3694,0.2552,0.0000,0.0000
W1_SimScale,0.500,1,0.9206,0.0668,0.9206,0.0668,0.6853,0.7601,0.6851,0.0000,0.0000
W1_SimScale,0.500,2,0.7230,0.2076,0.9071,0.1353,0.6853,0.7601,0.6851,0.0000,0.0000
W1_SimScale,0.500,3,0.6852,0.2178,0.8343,0.3013,0.6853,0.7601,0.6851,0.0000,0.0000
W1_SimScale,0.500,4,0.6884,0.2791,0.7706,0.3274,0.6853,0.7601,0.6851,0.0000,0.0000
W1_SimScale,0.500,5,0.6592,0.2798,0.6807,0.4071,0.6853,0.7601,0.6851,0.0000,0.0000
W1_SimScale,0.500,6,0.6028,0.2585,0.7029,0.3875,0.6853,0.7601,0.6851,0.0000,0.0000
W1_SimScale,0.500,7,0.5952,0.3037,0.6338,0.4462,0.6853,0.7601,0.6851,0.0000,0.0000
W1_SimScale,0.500,8,0.6085,0.2863,0.6307,0.4507,0.6853,0.7601,0.6851,0.0000,0.0000
W1_SimScale,0.250,1,0.7037,0.2097,0.7037,0.2097,0.6188,0.4008,0.2961,0.0000,0.0000
W1_SimScale,0.250,2,0.6625,0.1825,0.5597,0.3135,0.6188,0.4008,0.2961,0.0000,0.0000
W1_SimScale,0.250,3,0.6599,0.1820,0.4473,0.3549,0.6188,0.4008,0.2961,0.0000,0.0000
W1_SimScale,0.250,4,0.6482,0.2570,0.4335,0.3994,0.6188,0.4008,0.2961,0.0000,0.0000
W1_SimScale,0.250,5,0.6476,0.2455,0.3228,0.3502,0.6188,0.4008,0.2961,0.0000,0.0000
W1_SimScale,0.250,6,0.5608,0.2466,0.2743,0.3600,0.6188,0.4008,0.2961,0.0000,0.0000
